"Muhammad";"Ali";"mali@gmail.com";"Boxer"
"Lou";"Ambers";"lambers@gmail.com";"Boxer"
"Vito";"Antuofermo";"vantuofermo@gmail.com";"Boxer"
"Jorge";"Arce";"j.arce@gmail.com";"Boxer"
"Alexis";"Arguello";"a.arguello@gmail.com";"Boxer"
"Henry";"Armstrong";"h.armstrong@gmail.com";"Boxer"
"Abe";"Attell";"a.attell@gmail.com";"Boxer"
"Monte";"Attell";"m.attell@gmail.com";"Boxer"
"Yuri";"Arbachakov";"y.arbachakov@gmail.com";"Boxer"
"Satoshi";"Aragaki";"s.aragaki@gmail.com";"Boxer"
"Max";"Baer";"m.baer@gmail.com";"Boxer"
"Carlos";"Baldomir";"c.baldomir@gmail.com";"Boxer"
"Dick";"Barker";"d.barker@gmail.com";"Boxer"
"Marco";"Barrera";"m.barrera@gmail.com";"Boxer"
"Michael";"Barry";"m.barry@gmail.com";"Boxer"
"Carmen";"Basilio";"c.basilio@gmail.com";"Boxer"
"Colin";"Bell";"c.bell@gmail.com";"Boxer"
"O'Neil";"Bell";"n.bell@gmail.com";"Boxer"
"Wilfredo";"Benitez";"w.benitez@gmail.com";"Boxer"
"Nigel";"Benn";"n.benn@gmail.com";"Boxer"
